order_gid,order_name,order_created_at,order_processed_at,order_financial_status,order_total_amount,order_currency,transaction_gid,transaction_kind,transaction_status,transaction_gateway,transaction_created_at,transaction_processed_at,transaction_amount,transaction_currency,fee_type,fee_amount,fee_currency,fee_tax_amount,fee_tax_currency,fee_rate_name,fee_flat_fee_name,fee_rate
gid://shopify/Order/7039440486590,#1120,2025-09-03T20:02:46Z,2025-09-03T20:02:43Z,REFUNDED,49.0,USD,gid://shopify/OrderTransaction/8448732004542,CAPTURE,SUCCESS,shopify_payments,2025-09-03T20:02:47Z,2025-09-03T20:02:49Z,49.0,USD,processing_fee,1.62,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/7042267152574,#1121,2025-09-05T00:42:48Z,2025-09-05T00:42:41Z,REFUNDED,39.2,USD,gid://shopify/OrderTransaction/8452462051518,SALE,SUCCESS,shopify_payments,2025-09-05T00:42:42Z,2025-09-05T00:42:42Z,39.2,USD,processing_fee,1.59,USD,0.0,USD,amex_card_not_present,,0.033
gid://shopify/Order/7047477264574,#1122,2025-09-07T21:06:42Z,2025-09-07T21:06:39Z,REFUNDED,49.0,USD,gid://shopify/OrderTransaction/8459153834174,CAPTURE,SUCCESS,shopify_payments,2025-09-07T21:06:42Z,2025-09-07T21:06:44Z,49.0,USD,processing_fee,1.92,USD,0.0,USD,amex_card_not_present,,0.033
gid://shopify/Order/7048941863102,#1123,2025-09-08T16:33:53Z,2025-09-08T16:33:50Z,REFUNDED,49.0,USD,gid://shopify/OrderTransaction/8460925468862,CAPTURE,SUCCESS,shopify_payments,2025-09-08T16:33:54Z,2025-09-08T16:33:55Z,49.0,USD,processing_fee,1.62,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/7051605606590,#1124,2025-09-09T22:20:39Z,2025-09-09T22:20:36Z,REFUNDED,49.0,USD,gid://shopify/OrderTransaction/8464343859390,CAPTURE,SUCCESS,shopify_payments,2025-09-09T22:20:39Z,2025-09-09T22:20:41Z,49.0,USD,processing_fee,1.62,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/7052030509246,#1125,2025-09-10T04:04:38Z,2025-09-10T04:04:36Z,REFUNDED,55.2,USD,gid://shopify/OrderTransaction/8464875520190,CAPTURE,SUCCESS,shopify_payments,2025-09-10T04:04:39Z,2025-09-10T04:04:39Z,55.2,USD,processing_fee,2.42,USD,0.0,USD,paypal_domestic_card_not_present,,0.0349
gid://shopify/Order/7060441399486,#1126,2025-09-13T17:31:31Z,2025-09-13T17:31:27Z,REFUNDED,49.0,USD,gid://shopify/OrderTransaction/8475351875774,CAPTURE,SUCCESS,shopify_payments,2025-09-13T17:31:32Z,2025-09-13T17:31:32Z,49.0,USD,processing_fee,1.62,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/7073001210046,#1127,2025-09-19T11:29:15Z,2025-09-19T11:29:15Z,REFUNDED,49.0,USD,gid://shopify/OrderTransaction/8491448271038,CAPTURE,SUCCESS,shopify_payments,2025-09-19T11:29:16Z,2025-09-19T11:29:16Z,49.0,USD,processing_fee,2.2,USD,0.0,USD,paypal_domestic_card_not_present,,0.0349
gid://shopify/Order/7073161412798,#1128,2025-09-19T13:37:03Z,2025-09-19T13:36:58Z,REFUNDED,49.0,USD,gid://shopify/OrderTransaction/8491659919550,CAPTURE,SUCCESS,shopify_payments,2025-09-19T13:37:04Z,2025-09-19T13:37:04Z,49.0,USD,processing_fee,1.62,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/7073942143166,#1129,2025-09-19T19:51:56Z,2025-09-19T19:51:52Z,REFUNDED,49.0,USD,gid://shopify/OrderTransaction/8492646531262,CAPTURE,SUCCESS,shopify_payments,2025-09-19T19:51:57Z,2025-09-19T19:51:58Z,49.0,USD,processing_fee,1.62,USD,0.0,USD,domestic_card_not_present,,0.027
